company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,3283221,2708932,94527,2233836,989427,2727845,974518,4029460,4934486,4828695,2791235,3972292,5344662,3802105,1999624,2397387,2650636,2876896,2032641
亞泥,1102,1170163,1337358,194459,527929,-169697,3033963,1542288,2666727,2360599,4195441,1683231,4978274,2008854,3799724,1377467,1689049,951001,2539970,1757228
嘉泥,1103,148684,-63416,-188985,597903,-316976,115684,-183290,-137648,179848,45792,-34204,1096945,178440,-45095,59637,7655,-710402,-188635,207198
環泥,1104,350053,509044,342983,473376,298063,349832,261837,340767,357824,445035,240829,359982,238532,337024,183441,120968,180548,267386,146032
幸福,1108,78783,90393,104371,63269,90634,153855,155005,70956,77193,150408,68510,3708,53016,42224,63869,14617,20456,18958,120150
信大,1109,32507,77164,-33204,44088,-72270,-30732,1507,61522,23008,145231,107003,201760,14151,71699,35090,82320,-32784,-3687,12611
東泥,1110,-8727,18707,216613,22178,61391,24910,35987,-25908,63447,36589,68173,-40420,109032,17151,61097,-93266,64691,8253,89646
味全,1201,33100,-360367,-82461,-783593,-804019,-276725,-329252,-673682,-85684,137545,236328,54,247111,209671,247114,25004,197277,138783,219085
味王,1203,168902,131753,122961,-12166,155462,113211,203231,93806,48462,90980,127870,27835,122811,92377,120200,62286,31878,69612,-15473
大成,1210,744922,647002,597271,-133611,390722,139412,89692,-293592,542341,383417,367411,1606510,423086,-64171,291215,92052,377865,217990,419378
大飲,1213,7007,7151,4984,-13064,18259,247,11069,-6808,14800,-263,3780,-8273,21019,-5214,8902,-8751,17636,-5060,7613
卜蜂,1215,308611,297624,260953,230700,203281,108402,178703,237935,177734,185966,206612,210187,164408,8308,68825,84994,173279,36521,10028
統一,1216,6250390,7178712,6398071,2235503,5821839,6919546,6616277,3264864,3541025,4868196,6536262,3362223,6519034,5108511,5750194,3689756,5707496,4591162,4486300
愛之味,1217,31771,-51696,-32326,-37462,226448,-52643,-76615,-59368,-38022,-155173,-156659,15792,-83407,-5152,12780,-20110,62103,14271,1102
泰山,1218,143376,77618,53065,44689,101589,-12600,-9727,-5020,72290,-21431,24056,-192605,56302,17868,-892,-338345,152691,46114,-68860
福壽,1219,6134,19693,26721,35854,14699,-7122,18988,73364,924,8564,43411,67289,5515,-14262,-34655,-98910,50741,17590,-33129
台榮,1220,26072,58037,38904,26860,65701,18394,-3834,-7311,10819,14581,23778,-24321,43561,-10843,32045,22484,59988,29622,36443
福懋油,1225,112751,120312,114629,482656,63537,12700,32442,76051,-58533,4296,39375,33514,-5284,20111,24293,-52364,94117,16584,-13864
佳格,1227,620789,422368,878890,600826,853491,379302,918848,518781,702404,327010,542165,422569,404961,335656,699669,646929,587225,385795,623268
聯華,1229,712559,583507,339308,87036,323255,715225,282478,152979,417568,457100,660832,354233,409823,328651,229649,427814,288405,622697,216783
聯華食,1231,118160,75182,125901,109991,119452,31268,97983,126423,53363,15942,26702,120285,59331,48070,111496,77546,115090,95385,78474
大統益,1232,192783,272291,176742,221963,276606,178769,243960,404861,151387,148025,290656,210937,105426,184697,212608,21640,135131,170200,121865
天仁,1233,31039,42716,50633,72313,43827,33018,60119,47325,50244,49700,84577,46910,64045,50950,68672,30247,70025,66336,66615
黑松,1234,236087,675375,88077,53142,291045,153095,123028,81125,195427,54120,64286,489279,238980,-518804,102664,7753582,198617,103513,57812
興泰,1235,127251,56059,83417,23353,55931,-32155,-192,-85039,73005,35771,27712,-6975,10460,-14673,-34836,-6359,57396,-28263,-9838
宏亞,1236,16447,-40525,32507,43776,10008,-25026,73060,38820,11461,93940,23243,83481,2682,-12840,62845,132699,50814,-40217,-4364
鮮活果汁-KY,1256,94068,73125,39253,10013,67828,83100,47510,32442,79405,75316,56727,38286,71878,60805,45783,22184,36143,22754,12601
其祥-KY,1258,60652,36116,40700,10534,50159,36220,30032,26363,16027,25550,24932,21135,12793,12087,11762,25330,10874,18195,26004
安心,1259,50833,59513,25979,8024,44151,18201,15952,-10158,30587,21030,3630,-1844,12543,12383,690,2069,11740,2628,18913
綠悅-KY,1262,442933,454189,393511,407533,405140,397994,349545,518057,335984,332695,351341,338829,296704,269458,226861,953592,0,0,0
德麥,1264,126987,117692,121897,119315,99585,99796,116362,132090,82812,73216,74249,76922,71462,139455,,241084,0,0,0
台塑,1301,11395381,10228536,5712824,5842398,10530079,10861107,3643685,-531110,7487748,3735280,7182974,5628917,6484094,3102603,5500227,2894900,8107845,-1186536,4846311
南亞,1303,8149794,8303395,5290566,5175377,10178439,12558547,8169341,3438420,9633224,10336885,9364725,6367134,8006380,3751211,6938975,924241,4624535,-3009736,1054247
台聚,1304,490726,835460,446718,390443,60171,695080,391412,-78137,312531,212834,181448,307367,349866,403590,629931,33626,761153,851072,1088143
華夏,1305,301095,424404,191844,290705,83207,268713,169793,-61906,47656,-25259,161904,155251,140222,166695,352668,149667,235084,165791,360089
三芳,1307,302481,254054,383314,262410,334903,219858,284407,247003,222983,235023,264750,246015,188508,143996,220310,194877,180941,155297,176282
亞聚,1308,148878,199845,96014,126112,104246,179888,121311,81471,150781,162505,105176,121442,126644,158057,130712,-20316,212419,178065,248094
台達化,1309,-45318,13532,49775,-23542,-181325,190194,82198,-226590,-111898,-79838,-212860,-79487,-8115,52624,52361,8008,77606,-222222,72861
台苯,1310,388439,191126,395950,17531,48703,477723,29497,-275541,-90168,301752,12997,241776,537203,213844,25820,-69295,24570,-333738,-106195
國喬,1312,629544,377486,600518,197014,209955,918302,326806,-30830,248939,116363,156209,610756,722105,610603,217806,171210,316443,1216974,184728
聯成,1313,258856,304042,32178,-488684,-245639,474365,87486,-296769,165505,49032,-161670,139146,300451,-15746,169177,89318,655759,22697,432067
中石化,1314,-11978,-699393,-721949,-59316,-388971,348107,182950,-1057621,-268891,1831861,-210817,6429907,-311655,-615515,-257670,-622003,-402418,498225,1931522
達新,1315,172519,11303,30558,39492,179517,22786,3081,67580,143933,17148,-3091,12605,102749,50485,4765,-28915,168385,3606,10723
上曜,1316,-19212,-29441,-31888,-33891,-26912,-12485,-49079,96176,-48081,-49697,-33865,-74270,-56574,-51017,-28385,-67743,-24768,-13151,-29496
東陽,1319,569031,527215,635667,683098,482521,134619,430698,38009,241481,268348,404685,305306,349797,408593,334919,164802,230333,148245,314901
大洋,1321,34060,14954,3533,-34222,43744,23382,4225,-53943,-64780,-27748,1446,-27560,31955,7430,1384,-43796,-14739,-68222,-593
永裕,1323,102970,86510,74185,95778,85472,55414,59328,102022,99469,72011,76127,81635,75203,80258,65827,61402,55242,57357,55102
地球,1324,10627,21538,17404,14864,21182,14892,6902,6893,11134,9876,15150,9234,7596,12595,14079,16467,15419,1689,4000
恒大,1325,9606,30819,35031,28674,33973,17358,18239,30287,10037,-4681,20977,21603,10467,14448,25156,21950,19632,9286,21816
