company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,6086680,2803459,94527,6925626,4691790,3702363,974518,16583876,12554416,7619930,2791235,15118683,11146391,5801729,1999624,9957560,7560173,4909537,2032641
亞泥,1102,2701980,1531817,194459,4934483,4406554,4576251,1542288,10905998,8239271,5878672,1683231,12164319,7186045,5177191,1377467,6937248,5248199,4297198,1757228
嘉泥,1103,-103717,-252401,-188985,213321,-384582,-67606,-183290,53788,191436,11588,-34204,1289927,192982,14542,59637,-684184,-691839,18563,207198
環泥,1104,1202080,852027,342983,1383108,909732,611669,261837,1384455,1043688,685864,240829,1118979,758997,520465,183441,714934,593966,413418,146032
幸福,1108,273547,194764,104371,462763,399494,308860,155005,367067,296111,218918,68510,162817,159109,106093,63869,174181,159564,139108,120150
信大,1109,76467,43960,-33204,-57407,-101495,-29225,1507,336764,275242,252234,107003,322700,120940,106789,35090,58460,-23860,8924,12611
東泥,1110,226593,235320,216613,144466,122288,60897,35987,142301,168209,104762,68173,146860,187280,78248,61097,69324,162590,97899,89646
味全,1201,-409728,-442828,-82461,-2193589,-1409996,-605977,-329252,-385493,288189,373873,236328,703950,703896,456785,247114,580149,555145,357868,219085
味王,1203,423616,254714,122961,459738,471904,316442,203231,361118,267312,218850,127870,363223,335388,212577,120200,148303,86017,54139,-15473
大成,1210,1989195,1244273,597271,486215,619826,229104,89692,999577,1293169,750828,367411,2256640,650130,227044,291215,1107285,1015233,637368,419378
大飲,1213,19142,12135,4984,16511,29575,11316,11069,11509,18317,3517,3780,16434,24707,3688,8902,11438,20189,2553,7613
卜蜂,1215,867188,558577,260953,721086,490386,287105,178703,808247,570312,392578,206612,451728,241541,77133,68825,304822,219828,46549,10028
統一,1216,19827173,13576783,6398071,21593165,19357662,13535823,6616277,18210347,14945483,11404458,6536262,20739962,17377739,10858705,5750194,18474714,14784958,9077462,4486300
愛之味,1217,-52251,-84022,-32326,59728,97190,-129258,-76615,-409222,-349854,-311832,-156659,-59987,-75779,7628,12780,57366,77476,15373,1102
泰山,1218,274059,130683,53065,123951,79262,-22327,-9727,69895,74915,2625,24056,-119327,73278,16976,-892,-208400,129945,-22746,-68860
福壽,1219,52548,46414,26721,62419,26565,11866,18988,126263,52899,51975,43411,23887,-43402,-48917,-34655,-63708,35202,-15539,-33129
台榮,1220,123013,96941,38904,107121,80261,14560,-3834,41867,49178,38359,23778,40442,64763,21202,32045,148537,126053,66065,36443
福懋油,1225,347692,234941,114629,591335,108679,45142,32442,61189,-14862,43671,39375,72634,39120,44404,24293,44473,96837,2720,-13864
佳格,1227,1922047,1301258,878890,2752467,2151641,1298150,918848,2090360,1571579,869175,542165,1862855,1440286,1035325,699669,2243217,1596288,1009063,623268
聯華,1229,1635374,922815,339308,1407994,1320958,997703,282478,1688479,1535500,1117932,660832,1322356,968123,558300,229649,1555699,1127885,839480,216783
聯華食,1231,319243,201083,125901,358694,248703,129251,97983,222430,96007,42644,26702,339182,218897,159566,111496,366495,288949,173859,78474
大統益,1232,641816,449033,176742,921298,699335,422729,243960,994929,590068,438681,290656,713668,502731,397305,212608,448836,427196,292065,121865
天仁,1233,124388,93349,50633,209277,136964,93137,60119,231846,184521,134277,84577,230577,183667,119622,68672,233223,202976,132951,66615
黑松,1234,999539,763452,88077,620310,567168,276123,123028,394958,313833,118406,64286,312119,-177160,-416140,102664,8113524,359942,161325,57812
興泰,1235,266727,139476,83417,46937,23584,-32347,-192,51449,136488,63483,27712,-46024,-39049,-49509,-34836,12936,19295,-38101,-9838
宏亞,1236,8429,-8018,32507,101818,58042,48034,73060,167464,128644,117183,23243,136168,52687,50005,62845,138932,6233,-44581,-4364
鮮活果汁-KY,1256,206446,112378,39253,208451,198438,130610,47510,243890,211448,132043,56727,216752,178466,106588,45783,93682,71498,35355,12601
其祥-KY,1258,137468,76816,40700,126945,116411,66252,30032,92872,66509,50482,24932,57777,36642,23849,11762,80403,55073,44199,26004
安心,1259,136325,85492,25979,86328,78304,34153,15952,45089,55247,24660,3630,23772,25616,13073,690,35350,33281,21541,18913
綠悅-KY,1262,1290633,847700,393511,1560212,1152679,747539,349545,1538077,1020020,684036,351341,1131852,793023,496319,226861,953592,,,
德麥,1264,366576,239589,121897,435058,315743,216158,116362,362367,230277,147465,74249,287839,210917,139455,,241084,,,
台塑,1301,27336741,15941360,5712824,30877269,25034871,14504792,3643685,17874892,18406002,10918254,7182974,20715841,15086924,8602830,5500227,14662520,11767620,3659775,4846311
南亞,1303,21743755,13593961,5290566,36081704,30906327,20727888,8169341,32773254,29334834,19701610,9364725,25063700,18696566,10690186,6938975,3593287,2669046,-1955489,1054247
台聚,1304,1772904,1282178,446718,1537106,1146663,1086492,391412,628676,706813,394282,181448,1690754,1383387,1033521,629931,2733994,2700368,1939215,1088143
華夏,1305,917343,616248,191844,812418,521713,438506,169793,122395,184301,136645,161904,814836,659585,519363,352668,910631,760964,525880,360089
三芳,1307,939849,637368,383314,1101578,839168,504265,284407,969759,722756,499773,264750,798829,552814,364306,220310,707397,512520,331579,176282
亞聚,1308,444737,295859,96014,531557,405445,301199,121311,499933,418462,267681,105176,536855,415413,288769,130712,618262,638578,426159,248094
台達化,1309,17989,63307,49775,67525,91067,272392,82198,-631186,-404596,-292698,-212860,17383,96870,104985,52361,-63747,-71755,-149361,72861
台苯,1310,975515,587076,395950,573454,555923,507220,29497,-50960,224581,314749,12997,1018643,776867,239664,25820,-484658,-415363,-439933,-106195
國喬,1312,1607548,978004,600518,1652077,1455063,1245108,326806,490681,521511,272572,156209,2161270,1550514,828409,217806,1889355,1718145,1401702,184728
聯成,1313,595076,336220,32178,-172472,316212,561851,87486,-243902,52867,-112638,-161670,593028,453882,153431,169177,1199841,1110523,454764,432067
中石化,1314,-1433320,-1421342,-721949,82770,142086,531057,182950,294532,1352153,1621044,-210817,5245067,-1184840,-873185,-257670,1405326,2027329,2429747,1931522
達新,1315,214380,41861,30558,244876,205384,25867,3081,225570,157990,14057,-3091,170604,157999,55250,4765,153799,182714,14329,10723
上曜,1316,-80541,-61329,-31888,-122367,-88476,-61564,-49079,-35467,-131643,-83562,-33865,-210246,-135976,-79402,-28385,-135158,-67415,-42647,-29496
東陽,1319,1731913,1162882,635667,1730936,1047838,565317,430698,952523,914514,673033,404685,1398615,1093309,743512,334919,858281,693479,463146,314901
大洋,1321,52547,18487,3533,37129,71351,27607,4225,-145025,-91082,-26302,1446,13209,40769,8814,1384,-127350,-83554,-68815,-593
永裕,1323,263665,160695,74185,295992,200214,114742,59328,349629,247607,148138,76127,302923,221288,146085,65827,229103,167701,112459,55102
地球,1324,49569,38942,17404,57840,42976,21794,6902,43053,36160,25026,15150,43504,34270,26674,14079,37575,21108,5689,4000
恒大,1325,75456,65850,35031,98244,69570,35597,18239,56620,26333,16296,20977,71674,50071,39604,25156,72684,50734,31102,21816
台化,1326,38877342,22124269,7819137,31617547,24503738,15532015,2057091,14019220,19280542,10542622,6316423,26678524,22893267,13125149,8533076,8246905,4387510,-2328160,3394906
恩得利,1333,-31311,-28389,-21129,-34052,-1084,-2714,4098,-98683,-74064,-79888,-69055,-25005,10727,23762,8393,-61135,-57596,-61648,-39058
台翰,1336,-127338,-86083,-27456,-149080,-128547,-94573,-34215,-39752,31652,29451,21487,6247,-19066,-6494,5834,-51244,-52334,-41845,-4522
再生-KY,1337,389258,256050,113708,390463,213439,101630,68099,1133135,916702,634955,305947,1287222,1057801,607720,230132,1500952,1160674,745618,316376
廣華-KY,1338,447135,312773,180001,753334,553739,373373,182322,633344,442424,294419,126583,460142,266604,141924,51008,316761,307358,215312,90630
昭輝,1339,117471,99420,51077,348631,241547,126592,73358,301332,214038,151550,82633,219488,150069,118986,70210,168527,114032,72538,37777
勝悅-KY,1340,696330,445798,173201,862813,639473,375319,153403,934256,661454,417185,189937,701379,495146,291243,134218,530463,,,
遠東新,1402,9228908,6078148,2566862,14686369,12571397,10192585,4626504,17007972,14458101,9960801,3547289,20941969,14469328,9663806,3618306,14988716,12268288,9551617,4790003
新纖,1409,660434,418510,193888,813749,970074,349530,224192,1722988,1553284,1114366,695741,1683740,1408153,870910,307862,1420329,1109694,649262,360628
南染,1410,94656,68358,31915,128695,100229,64250,23923,111631,83114,42633,16175,101751,78609,49186,19526,123082,99476,61423,15211
宏洲,1413,-42083,-18511,-3319,3359,-28642,7489,-32724,-247175,-171388,-71838,-48839,-297968,-210810,-190491,-71515,-270517,-117969,-74730,-70876
東和,1414,-7696,-5861,-4234,7218,-8405,-20652,-16421,45869,19571,29607,21316,136272,114566,86961,32362,91415,68021,39166,26600
廣豐,1416,1277334,1136799,385038,-35325,28422,99475,155538,480575,222460,42593,-41978,63546,-117902,-74784,-9898,1103870,913205,946585,3179
嘉裕,1417,-115717,-26788,-121473,-384603,-312525,-183136,-93089,29101,5269,70779,85839,16629,-96608,-66932,-9910,169486,157331,154752,111593
東華,1418,-115145,-56251,-26097,-180081,-110850,-88138,-61834,-160165,-96278,-52539,-41899,-122369,-94137,-65167,-24914,-194275,-172775,-77104,35223
新紡,1419,135188,-27177,-16025,111415,131133,-47246,-25483,104282,142958,62516,-11751,164396,175024,113453,-12931,175819,167258,20085,8808
利華,1423,12777,9300,4887,-36010,-19125,-2334,-18412,-74649,-65126,-44645,-41466,-3727,-25782,-16528,21160,-99247,-91481,-27829,25533
大魯閣,1432,-137399,30920,89289,-137939,-41513,-35980,-79840,-145804,-60947,-107404,-60630,-113973,-75843,-62821,-58305,577590,-64487,-54031,-42747
福懋,1434,3377743,1238867,730154,3223952,2506968,1384993,615954,3819675,3048694,1403349,590520,2176976,1654478,1215145,525971,2516675,2334494,1160257,476006
中福,1435,-6511,-6540,-6163,-3617,632,38,723,-1655,985,12,3,-11247,-2471,-2933,-1219,1028,9722,13728,-943
華友聯,1436,35407,16491,-22318,-38046,-43011,-29156,-7168,321082,287195,217418,1976,-11041,-16624,-11620,-3123,-171852,-179290,-222829,-2215
勤益控,1437,391864,331592,61674,52543,73094,51171,34610,216191,207243,193020,97146,-594462,-140348,-56314,-37950,9430,-37595,-8294,-11429
