,,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率,M股利殖利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
台泥,s1101,3.73,4.15,4.22,4.87,7.47,6.39,5.65,5.74,5.08,5.09,4.89,4.97,4.44,5.15,5.07,4.88,5.23,5.37
亞泥,s1102,4.01,3.94,3.74,4.01,6.83,6.03,5.59,5.64,5.05,4.89,5.26,5.18,4.98,5.15,5.21,5.09,6.81,6.94
嘉泥,s1103,1.11,1.2,1.06,1.05,2.99,2.49,2.17,2.12,6.73,6.27,6.29,6.37,0,0,0,0,3.3,3.69
環泥,s1104,4.44,5.02,4.92,4.89,5.71,4.45,4.07,4.65,4.05,3.87,3.6,3.89,2.94,4.4,4.2,4.69,4.05,4.62
幸福,s1108,9.2,8.42,8.29,8.42,5.85,5.66,5.45,5.83,4.5,4.98,4.84,5.36,0,0,0,0,0,0
信大,s1109,1.95,2,2.01,1.99,1.97,1.64,1.44,1.5,8.36,7.43,9.34,10.04,3.6,3.58,3.64,3.57,3.35,3.38
東泥,s1110,1.29,1.32,1.32,1.27,1.32,1.32,1.2,1.18,1.19,1.27,1.18,1.14,0.64,0.65,0.73,0.71,0.75,0.85
味全,s1201,0,0,0,0,0,0,0,0,1.66,1.33,1.31,1.15,1.04,1.18,1.34,1.66,1.7,1.99
味王,s1203,4.56,4.61,4.64,4.37,5.03,4.35,4.2,4.2,4.22,4.48,4.2,4.02,1.33,1.4,1.47,1.49,2.24,2.57
大成,s1210,2.58,2.38,3.37,3.38,5.52,4.6,3.81,3.63,10.38,11,13.29,15.15,4.69,4.68,4.58,4.51,5.8,6.08
大飲,s1213,6.06,5.25,5.45,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卜蜂,s1215,5.3,5.38,8.06,8.7,8.5,7.69,6.91,7.92,4.87,4.49,6.34,8.23,5.42,5.05,5.13,5.25,2.05,2.27
統一,s1216,3.4,3.15,3.54,3.64,3.04,3.29,3.44,3.59,3.75,3.92,3.96,3.91,3.42,3.42,3.53,3.75,3.06,3.57
愛之味,s1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰山,s1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,3.32
福壽,s1219,1.63,1.64,1.63,1.71,2.41,2.42,2.31,2.36,0.89,0.95,0.97,1.02,1.97,2,1.98,1.92,6.18,6.54
台榮,s1220,4.61,4.24,4.74,4.65,3.04,2.91,2.78,2.87,3.47,3.35,3.41,3.51,4.07,3.69,3.77,3.7,0,0
福懋油,s1225,1.92,2.5,3.22,3.9,1.09,1.18,1.16,1.17,0.9,1.45,1.93,2.38,2.97,2.92,3.05,1.54,2.19,2.34
佳格,s1227,3.03,3.42,3.38,3.29,3.33,2.82,3.23,3.71,3.35,3.01,3.01,2.69,3.44,3.69,3.89,4.4,4.76,5.61
聯華,s1229,6.74,6.89,7.16,7.63,9.11,8.31,8.39,8.8,4.92,4.76,5.13,5.16,5.27,5.11,5.14,5.29,5.1,5.52
