company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,119.67,123.71,121.08,133.06,128.28,121.14,132.9,140.76,113.37,109.82,123.84,124.7,105.22,112.4,117.73,119.02,121.88,109.53,122.85
亞泥,1102,79.91,72.75,82.27,81.02,93.78,85.45,112.05,108.57,95.75,99.24,101.29,105.46,87.47,103.2,105.92,118.49,116.37,123.07,163.64
嘉泥,1103,404.79,349.02,677.72,699.93,469.63,382.5,344.68,382.56,208.39,197.98,289.41,412.74,304.74,345.57,413.13,444.62,457.48,305.86,317.67
環泥,1104,105.43,106.72,120.46,123.51,126.24,129.33,114.8,128.23,132.69,127.74,153.84,154.73,152.82,149.5,197.95,188.64,193.17,168.54,204.86
幸福,1108,205.54,224.47,255.55,285.67,265.38,235.15,254.83,238.3,264.19,246.91,257.02,250.11,247.21,244.57,236.7,230.4,227.97,217.69,225.2
信大,1109,238.8,243.59,239.01,251.92,185.46,287.58,345.1,150.36,144.53,172.32,221.51,238.48,234.14,234.13,258.5,248.72,283.25,296.26,333.8
東泥,1110,641.41,491.79,824.29,505.38,651.35,465.86,774.32,607.3,577.81,437.39,414.68,466.32,493.79,392.04,425.67,310.81,292.65,291.73,299.03
味全,1201,95.16,83.98,93.44,100.72,100.39,94.27,95.55,97.37,113.72,118.74,118.24,126.72,192.09,198.12,128.44,127.33,211.46,220.72,242.98
味王,1203,212.81,216.57,258.68,238.75,246.25,228.74,281.56,225.4,214.19,193.33,227.96,218.22,197.97,179.48,196.08,189.36,207.1,186.76,180.79
大成,1210,124.11,122.05,124.42,123.09,133.71,130.45,136.37,136.03,130.91,142.85,146.49,141.61,145.49,146.99,144.9,136.5,133.87,131.71,140.49
大飲,1213,265.21,344.68,344.3,348,291.42,344.48,317.94,359.87,262.7,332.91,323.84,298.64,242.77,268.17,320.72,289.17,230.12,271.43,273.95
卜蜂,1215,111.79,101.94,111.76,117.59,120.87,124.09,133.74,135.15,128.39,125.9,133.42,124.39,119.43,113.95,120.63,124.21,127.12,121.17,130.29
統一,1216,95.23,92.46,93.87,92.06,90.37,91.9,97.96,95.89,95.29,94.7,98.41,99.65,99.63,98.86,106.41,104.63,99.37,100.17,103.68
愛之味,1217,92.08,102.24,104.95,77.78,83.34,86.38,88.32,84.88,85.31,121.84,117.92,142.7,140.05,148.51,158.35,163.11,140.51,157.35,154.91
泰山,1218,149.22,135.91,138.81,168.43,138.57,123.49,104.09,115.1,142.57,139.69,149.56,159.36,176.28,188.11,150.05,144.05,160.59,170.49,158.03
福壽,1219,232.43,239.04,202.89,204.34,217.63,240.07,279.66,336.14,356.3,327.57,325.82,488.37,399.61,267.74,357.43,276.35,328.05,321.09,301.83
台榮,1220,469.33,416.79,458.82,410.25,444.13,341.67,380.04,288.93,372.02,387.72,373.17,372.06,551.46,427.6,456,436.54,436.01,346.45,332.88
福懋油,1225,205.72,197.09,305.9,265.43,197.32,169.35,182.58,184,127.36,130.3,131.78,135.28,159.89,148.43,171.51,177.53,157.06,157.37,163.7
佳格,1227,214.17,225.48,273.41,238.94,248.85,229.74,273.5,238.56,255.42,218.16,292.98,244.01,243.94,244.56,340.12,294.17,328.83,263.57,347.19
聯華,1229,87.29,82.31,81.59,92.15,89.04,95.43,106.48,88.56,85.6,84.79,75.83,86.87,82.45,91.97,120.12,136.31,131.51,119.97,130.63
聯華食,1231,177.27,156.95,168.69,167.88,143.11,136.35,154.83,153.32,145.6,107.84,123.8,173.88,174.48,165.35,197.5,196.94,189.89,169.45,191.62
大統益,1232,396.19,265.82,448.28,391.82,440.84,273.81,468.07,353.02,460.45,255.18,510.51,393.28,312.34,260.53,412.05,265.75,292.55,239.46,411.97
天仁,1233,177.42,157.22,220.12,183.28,163.03,147.97,233.82,189.8,180.09,150.27,242.29,180.12,190.67,152.9,241.26,194.27,193.36,149,267.34
黑松,1234,347.72,341.23,375.26,384.12,436.09,342.91,474.43,472.01,386.53,275.39,437.69,449.21,281.36,323.12,686.79,839.95,236.26,218.98,270.32
興泰,1235,305.6,246.18,226.52,209.83,160.48,153.7,162.28,163.53,203.58,168.83,151.07,152.54,158.09,156.9,162.44,167.35,169.63,158.42,166.41
宏亞,1236,112.84,93.12,135.78,126.25,144.8,113,138.48,133.43,170.56,133.48,120.18,124.57,132.12,121.27,134.35,132.43,110.77,109.19,104.11
鮮活果汁-KY,1256,151.27,135.91,156.88,150.95,150.5,137.18,165.69,171.97,172.35,154.05,191.37,188.5,162.52,166.58,182.94,159.9,148.62,110.64,111.81
其祥-KY,1258,163.72,200.95,209.77,205.87,322.21,212.03,345.33,417.7,424.77,347.1,390.28,323.71,378.57,322.92,321.31,304.45,304.45,246.38,381.55
安心,1259,233.33,222.18,240.52,229.18,236.2,215.62,241.84,232.66,220.01,203.76,222.34,217.33,207.4,191.84,218.54,202.18,180.55,185.39,195.27
綠悅-KY,1262,222.67,213.31,294.91,248.75,213.9,193.95,216.23,262.22,252.08,244.69,331.31,213.89,229.9,220.13,146.33,87.77,,,
德麥,1264,492.55,298.79,461.1,346.51,335.54,347.09,300.35,262.66,292.2,240.28,286.82,507.93,533,339.06,,348.81,,,
台塑,1301,212.6,167.77,241.76,249.83,234.74,240.11,342.04,334.15,284.28,243.99,258.17,239.4,203.7,200.07,207.72,218.88,240.77,186.18,308.1
南亞,1303,262.54,235.97,278.43,299.9,261.33,241.13,304.84,295.38,325.54,260.97,269.45,244.09,223.41,222.34,247.66,286.49,262.28,233.1,315.68
台聚,1304,206.08,192.02,214.86,208.21,205.58,189.68,211.9,198.57,197.98,184.38,204.13,211.37,228.52,217.23,235,245.02,232.58,219.83,228.48
華夏,1305,293.18,226.26,233.18,245,214.7,202.19,221.97,213.44,199.66,202.38,227.83,260.68,247.28,216,229.14,226.21,222.54,211.38,232.3
三芳,1307,242.27,205.6,227.94,225.77,220.27,224.02,250.61,259.33,234.67,209.31,244.32,237.21,222.79,208.1,235.56,229.78,234.71,224.73,240.01
亞聚,1308,257.07,190.56,316.67,217.75,263.54,203.53,516.89,472.52,495.75,378.53,616.92,745.64,733.91,437.82,824.27,731.81,838.24,498.7,633.65
台達化,1309,148.11,144.59,142.48,140.56,148.13,139.75,141.48,134.42,135.28,129.66,129.16,132.46,150.03,162,130.62,140.31,134.01,140.58,145.28
台苯,1310,165.04,133.12,150.64,134.92,141.34,132.04,126.26,132.1,138.85,132.62,130.29,122.19,117.24,102.54,105.63,104.86,109.54,113.59,120.94
