company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,29.73,-24.28,-90.3,-58.24,-62.63,-51.41,-65.09,9.69,12.63,31.34,39.59,51.21,48.76,17.56,-5.49,-27.47,-29.59,-28.73,-14.66
亞泥,1102,-38.68,-66.53,-87.39,-54.75,-46.52,-22.16,-8.37,-10.34,14.66,13.55,22.2,108.21,66.85,47.27,-10.87,-43.36,-46.03,-37.27,-32.76
嘉泥,1103,73.03,-273.34,-3.11,296.6,-300.89,-683.41,-435.87,-95.83,-0.8,-20.31,-157.35,324.29,127.99,-27.64,-71.27,-314.7,-413.93,-97.52,-44.06
環泥,1104,32.14,39.3,30.99,-0.1,-12.83,-10.82,8.72,23.72,37.51,31.78,31.28,59.71,28.07,27.37,23.46,80.54,119.29,318.48,14.97
幸福,1108,-31.53,-36.94,-32.67,26.07,34.91,41.08,126.25,125.45,86.11,106.35,7.27,-9.49,-2.89,-25.27,-47.47,223.06,201.86,217.08,257.59
信大,1109,175.34,250.42,"-2,303.32",-117.05,-136.87,-111.59,-98.59,4.36,127.59,136.2,204.94,478.34,574.24,"1,320.26",190.1,-31.88,-66.98,204.22,132.4
東泥,1110,85.29,286.42,501.92,1.52,-27.3,-41.87,-47.21,-3.1,-10.18,33.88,11.58,114.17,15.71,-19.93,-31.04,195.15,146.14,59.27,285.19
味全,1201,70.94,26.92,74.96,-469.03,-589.26,-262.08,-239.32,-154.76,-59.06,-18.15,-4.36,11.07,20.08,23.06,11.23,4.92,19.96,17.88,12.21
味王,1203,-10.23,-19.51,-39.5,27.31,76.54,44.59,58.94,-0.58,-20.3,2.95,6.38,125.06,453.04,475.59,567.9,"1,218.37",-34.82,-44.82,-130.31
大成,1210,220.93,443.1,565.91,-51.36,-52.07,-69.49,-75.59,-55.71,98.91,230.7,26.16,99.77,-35.96,-64.38,-30.56,-37.59,-24.95,-32.2,-18.12
大飲,1213,-35.28,7.24,-54.97,43.46,61.46,221.75,192.83,-29.97,-25.86,-4.64,-57.54,43.91,23.65,52.78,16.93,392.59,271.74,147.98,305.7
卜蜂,1215,76.84,94.55,46.03,-10.78,-14.01,-26.87,-13.51,78.92,136.11,408.96,200.2,40.84,4.22,41.51,391.33,115.64,112.96,-49.87,-66.09
統一,1216,2.43,0.3,-3.3,18.58,29.52,18.69,1.22,-12.2,-14,5.03,13.67,33.22,16.1,16.15,25.96,25.38,21.42,18.46,22.78
愛之味,1217,-153.76,35,57.81,114.6,127.78,58.55,51.09,-582.18,-361.68,"-4,187.99","-1,325.81",-798.09,-169.65,-82.99,-65.76,207.13,148.69,132.05,-96.1
泰山,1218,245.76,685.31,645.54,77.34,5.8,-950.55,-140.43,158.57,2.23,-84.54,"2,796.86",40.63,183.22,125.18,99.28,-203.46,-45.08,-117.29,-591.23
福壽,1219,97.81,291.15,40.73,-50.56,-49.78,-77.17,-56.26,428.58,221.88,206.25,225.27,140.46,-190.36,-253.93,-27.19,-111.47,-94.38,-102.47,-355.13
台榮,1220,53.27,565.8,"1,114.71",155.86,63.21,-62.04,-116.12,3.52,-24.06,80.92,-25.8,-73.01,-49.38,-68.55,-14.2,-1.52,3.5,-36.45,-20.25
福懋油,1225,219.93,420.45,253.34,866.41,831.25,3.37,-17.61,-15.76,-137.99,-1.65,62.08,61.3,-59.34,"4,839.27",263.05,20.06,49.47,-95.37,-129.04
佳格,1227,-10.67,0.24,-4.35,31.67,36.91,49.35,69.48,12.21,9.12,-16.05,-22.51,-17.07,-9.9,2.45,12.12,-9.63,-17.44,-25.07,-28.15
聯華,1229,23.8,-7.51,20.12,-16.61,-13.97,-10.75,-57.25,27.69,58.61,100.24,187.76,-15.01,-25.96,-32.92,-31.8,1.97,-6.58,-4.67,-12.78
聯華食,1231,28.36,55.58,28.49,61.26,159.05,203.09,266.95,-34.42,-56.14,-73.28,-76.05,-8.25,-25.71,-10.15,38.61,2.52,1.52,-19.78,-23.62
大統益,1232,-8.22,6.22,-27.55,-7.4,18.52,-3.64,-16.07,39.41,17.37,10.41,36.71,57.38,16.03,34.19,71.68,-24.12,-9.57,-0.78,-28.11
天仁,1233,-9.18,0.23,-15.78,-9.73,-25.77,-30.64,-28.92,0.55,0.46,12.25,23.16,-2.29,-9.07,-8.87,6.79,-1.06,-8.25,-2.42,-17.85
黑松,1234,76.23,176.49,-28.41,57.06,80.72,133.2,91.38,26.54,277.15,128.45,-37.38,-95.91,-146.95,-356.24,49.8,"1,968",0.18,-2.65,-9.91
興泰,1235,"1,030.97",531.19,"43,546.35",-8.77,-82.72,-150.95,-100.69,211.79,449.53,228.23,179.55,-492.56,-312.37,-27.91,-243.48,-14.52,3.04,"-31,130.33","-22,779.07"
宏亞,1236,-85.48,-116.69,-55.51,-39.2,-54.88,-59.01,214.33,22.98,144.17,134.34,-63.02,-7.03,369.16,219.28,"1,618.73",-22.97,-91.83,-183.9,-110.39
鮮活果汁-KY,1256,4.04,-13.96,-17.38,-14.53,-6.15,-1.09,-16.25,12.52,18.48,23.88,23.9,131.37,149.61,201.48,263.33,11.85,-5.06,-17.2,
其祥-KY,1258,18.09,15.95,35.52,36.69,75.03,31.24,20.46,60.74,81.51,111.67,111.97,-34.53,-51.05,-59.94,-58.83,-18.76,-25.21,-13.46,-10.31
安心,1259,74.1,150.32,62.86,91.46,41.73,38.5,339.45,89.67,115.67,88.63,426.09,-21.35,-9.18,-16.6,-95.14,-76.02,-75.25,-76.1,-47.16
綠悅-KY,1262,11.97,13.4,12.58,1.44,13.01,9.28,-0.51,35.89,28.62,37.82,54.87,18.71,14.04,14.68,,72.8,,,
德麥,1264,16.1,10.84,4.76,20.06,37.11,46.58,56.72,25.89,9.18,5.74,,19.44,,36.07,,7.63,,,
台塑,1301,9.19,9.9,56.79,72.74,36.01,32.85,-49.27,-13.71,22,26.91,30.59,39.79,26.87,129.88,12.56,-58.96,-66.28,-86,-67.95
南亞,1303,-29.65,-34.42,-35.24,10.09,5.36,5.21,-12.76,30.76,56.9,84.3,34.96,588.66,612.62,692.22,515.86,-85.15,-89.87,-109.52,-92.28
台聚,1304,54.61,18.01,14.13,144.5,62.23,175.56,115.72,-62.82,-48.91,-61.85,-71.2,-39.98,-49.65,-47.68,-43,-43.38,-39.67,-44.63,-40.25
華夏,1305,75.83,40.53,12.99,563.77,183.08,220.91,4.87,-84.98,-72.06,-73.69,-54.09,-14.02,-16.31,-4.46,-4.31,894.01,912.82,93.53,"1,024.86"
三芳,1307,12,26.4,34.78,13.59,16.11,0.9,7.42,21.4,30.74,37.18,20.17,14.12,10.85,13.33,28.64,5.07,11.07,2.08,-15.17
亞聚,1308,9.69,-1.77,-20.85,6.33,-3.11,12.52,15.34,-6.88,0.73,-7.3,-19.54,-13.26,-35.03,-32.33,-47.33,-61.83,-55.44,-60.35,-56.05
台達化,1309,-80.25,-76.76,-39.44,110.7,122.51,193.06,138.62,"-3,731.05",-517.67,-378.8,-506.52,146.15,279.65,176.04,-33.14,-123.52,-119.64,-146.23,-64.58
台苯,1310,75.48,15.74,"1,242.34","1,225.30",147.54,61.15,126.95,-105,-71.09,31.33,-49.66,315.2,284.61,153.61,123.04,45.71,42.17,38.28,32.48
國喬,1312,10.48,-21.45,83.75,236.69,179.01,356.8,109.21,-77.3,-66.37,-67.1,-28.28,11.35,-11.47,-41.99,9.94,46.21,35.79,73.29,-72.07
聯成,1313,88.19,-40.16,-63.22,29.29,498.13,598.81,154.11,-141.13,-88.35,-173.41,-195.56,-50.75,-59.08,-66.03,-60.36,14.11,0.45,-40.82,-19.77
中石化,1314,"-1,108.77",-367.64,-494.62,-71.9,-89.49,-67.24,186.78,-94.38,214.12,285.65,18.18,231.98,-155.8,-136.76,-112.39,-87.12,-80.1,-65.22,-32.79
達新,1315,4.38,61.83,891.82,8.56,30,84.02,199.68,32.22,-0.01,-74.56,-164.87,1.28,-23.38,176.04,-70.67,-75.28,-29.9,-33.59,"1,271.23"
上曜,1316,8.97,0.38,35.03,-245.02,32.79,26.33,-44.93,83.13,3.19,-5.24,-19.31,-45.09,-58.16,-86.18,3.77,-178.16,"-1,381.65",-328.29,-123.9
東陽,1319,65.28,105.7,47.59,81.72,14.58,-16,6.43,-31.9,-16.35,-9.48,20.83,80.57,81.06,88.54,9.06,-37.13,-34.2,-35.89,-20.91
大洋,1321,-26.35,-33.04,-16.38,125.6,178.34,204.96,192.19,"-1,197.93",-323.41,-398.41,4.48,111.22,147.23,112.55,193.2,24.09,56.33,35.26,99.06
永裕,1323,31.69,40.05,25.04,-15.34,-19.14,-22.54,-22.07,15.42,11.89,1.41,15.65,27.78,33.98,31.39,19.98,13.17,18.69,35.61,11.45
地球,1324,15.34,78.68,152.16,34.35,18.85,-12.91,-54.44,-1.04,5.52,-6.18,7.61,26.9,72.97,540.12,322.03,-47.51,-68.64,-83.97,-75.46
恒大,1325,8.46,84.99,92.07,73.51,164.19,118.44,-13.05,-21,-47.41,-58.85,-16.61,-1.75,-1.54,26.84,14.94,-38.25,-42.94,-56.24,-57.78
台化,1326,58.66,42.44,280.11,125.53,27.09,47.33,-67.43,-47.45,-15.78,-19.68,-25.98,213.74,400.07,696.38,147.43,-76.39,-88.13,-107.7,-82.47
恩得利,1333,"-2,788.47",-946.02,-615.59,65.49,98.54,96.6,105.93,-294.65,-790.44,-436.2,-922.77,59.17,118.71,138.92,121.5,26.01,5.38,13.74,1.55
