company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,54.01,66.02,-90.3,4.39,-11.22,13.68,-65.09,-2.94,-18.71,-8.25,39.59,2.45,31.2,23.05,-5.49,2.12,-0.86,-14.07,-14.66
亞泥,1102,27.85,20.86,-87.39,-8.23,-24.36,-13.79,-8.37,-25,1.11,-8.65,22.2,41.36,19.58,58.14,-10.87,2.67,-8.76,-4.51,-32.76
嘉泥,1103,346.37,-270.23,-3.11,597.49,382.52,-247.54,-435.87,-95.03,19.51,137.04,-157.35,196.3,155.63,43.63,-71.27,99.23,-316.41,-53.46,-44.06
環泥,1104,-7.16,8.31,30.99,12.73,-2.01,-19.54,8.72,-13.79,5.73,0.5,31.28,31.64,0.7,3.91,23.46,-38.75,-199.19,303.51,14.97
幸福,1108,5.41,-4.27,-32.67,-8.84,-6.17,-85.17,126.25,39.34,-20.24,99.08,7.27,-6.6,22.38,22.2,-47.47,21.2,-15.22,-40.51,257.59
信大,1109,-75.08,2553.74,"-2,303.32",19.82,-25.28,-13,-98.59,-123.23,-8.61,-68.74,204.94,-95.9,-746.02,1130.16,190.1,35.1,-271.2,71.82,132.4
東泥,1110,-201.13,-215.5,501.92,28.82,14.57,5.34,-47.21,7.08,-44.06,22.3,11.58,98.46,35.64,11.11,-31.04,49.01,86.87,-225.92,285.19
味全,1201,44.02,-48.04,74.96,120.23,-327.18,-22.76,-239.32,-95.7,-40.91,-13.79,-4.36,-9.01,-2.98,11.83,11.23,-15.04,2.08,5.67,12.21
味王,1203,9.28,19.99,-39.5,-49.23,31.95,-14.35,58.94,19.72,-23.25,-3.43,6.38,-327.98,-22.55,-92.31,567.9,1253.19,10,85.49,-130.31
大成,1210,-222.17,-122.81,565.91,0.71,17.42,6.1,-75.59,-154.62,-131.79,204.54,26.16,135.73,28.42,-33.82,-30.56,-12.64,7.25,-14.08,-18.12
大飲,1213,-42.52,62.21,-54.97,-18,-160.29,28.92,192.83,-4.11,-21.22,52.9,-57.54,20.26,-29.13,35.85,16.93,120.85,123.76,-157.72,305.7
卜蜂,1215,-17.71,48.52,46.03,3.23,12.86,-13.36,-13.51,-57.19,-272.85,208.76,200.2,36.62,-37.29,-349.82,391.33,2.68,162.83,16.22,-66.09
統一,1216,2.13,3.6,-3.3,-10.94,10.83,17.47,1.22,1.8,-19.03,-8.64,13.67,17.12,-0.05,-9.81,25.96,3.96,2.96,-4.32,22.78
愛之味,1217,-188.76,-22.81,57.81,-13.18,69.23,7.46,51.09,-220.5,3826.31,-2862.18,"-1,325.81",-628.44,-86.66,-17.23,-65.76,58.44,16.64,228.15,-96.1
泰山,1218,-439.55,39.77,645.54,71.54,956.35,-810.12,-140.43,156.34,86.77,-2881.4,"2,796.86",-142.59,58.04,25.9,99.28,-158.38,72.21,473.94,-591.23
