,,M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C),M每股淨值 (C)
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
台泥,s1101,28.49,27.72,29.17,29.26,29.65,29.69,32.04,31.95,30.2,29.22,31.71,30.63,28.88,27.56,29.22,27.03,26.04,25.13
亞泥,s1102,36.16,36.48,37.9,40.43,42.03,41.62,43.88,42.19,39.81,39.67,41.09,40.8,38.76,38.94,39.86,26.21,25.56,25.79
嘉泥,s1103,21.98,18.17,19.13,19.23,19.21,23.85,25.92,26.88,26.65,26.16,30.16,29.56,23.57,21.05,21.88,21.85,20.86,22.84
環泥,s1104,25.34,25.52,25.81,25.23,25.19,25.36,25.9,25.39,24.37,24.16,24.4,23.79,22.51,22.21,22.44,21.87,21.74,21.42
幸福,s1108,11.72,11.53,12.13,11.89,11.71,11.48,11.72,11.33,11.12,10.95,11.05,10.85,10.82,10.69,10.63,10.37,10.46,10.36
信大,s1109,14.13,14.11,14.28,14.31,14.35,13.84,14.16,14.18,13.95,13.75,14.79,14.6,14.25,14.23,14.4,13.85,13.65,13.75
東泥,s1110,15.03,15.09,15.41,15.1,15.03,15.41,15.65,15.49,15.56,15.5,15.5,15.23,15.15,14.86,15.01,14.58,14.71,14.6
味全,s1201,10.1,10.39,11.17,11.51,13.19,14.16,14.85,15.55,16.7,16.66,17,16.42,16.38,15.92,15.87,15.9,15.78,15.45
味王,s1203,17.88,17.57,18.11,17.8,18.14,17.62,18.57,18.02,17.73,17.34,17.9,17.34,16.96,16.59,16.69,16.64,16.57,16.42
大成,s1210,21.1,20.45,20.65,19.95,20.1,19.31,20.69,20.19,19.84,24.99,25.01,24,22.14,21.58,22.44,21.53,22.16,21.78
大飲,s1213,12.33,13.42,13.28,13.19,13.44,13.09,13.08,12.87,13.02,12.71,12.72,12.64,12.8,12.39,12.49,12.34,12.52,12.17
卜蜂,s1215,22.83,21.17,21.15,18.87,18.65,20.51,21.02,21.53,21,20.39,20.77,20.64,17.92,17.84,20.89,20.5,19.94,20.52
統一,s1216,16.53,16.14,17.64,16.95,17.07,16.66,17.52,16.84,16.08,16.4,17.51,16.73,16.12,16.48,17.17,16.99,16.09,16.53
愛之味,s1217,10.48,10.7,10.87,11.08,11.22,10.61,10.78,10.96,10.97,11.11,11.33,11.61,11.57,11.68,10.74,10.75,10.84,10.78
泰山,s1218,10.81,10.4,10.19,10.02,10.04,9.78,9.81,9.86,9.91,9.71,9.78,9.72,10.3,10.16,10.07,10.41,11.42,11.28
福壽,s1219,12.06,11.95,12.07,11.94,11.84,11.97,12.16,12.09,11.88,11.87,12.05,11.93,11.72,11.94,12.07,12.34,12.65,13.11
台榮,s1220,12.43,12.11,12.29,12.15,11.97,11.69,11.88,11.84,11.87,11.82,12.11,11.98,11.9,11.61,12.01,12.1,11.98,11.59
福懋油,s1225,14.33,14.03,14.68,14.35,12.22,11.93,12.15,12.44,12.09,11.9,12.15,12.21,11.79,12.45,12.11,11.98,12.34,12.27
佳格,s1227,15.59,16.6,17.88,16.91,16.38,16.71,17.9,16.71,15.75,16.01,17.22,16.31,15.61,17.28,18.62,17.38,16.24,18.98
聯華,s1229,24.11,22.77,23.24,22.7,22.4,25.63,25.11,25.32,24.46,25.03,25.47,24.41,23.14,21.7,23.87,23.33,25.14,24.77
聯華食,s1231,18.96,18.86,19.7,18.88,18.29,17.46,18.16,17.52,16.7,18.27,19.16,18.98,18.08,19.05,19.82,19.36,19.01,18.63
大統益,s1232,21.87,20.68,23.99,22.9,21.45,19.73,23.63,22.11,19.56,18.63,21.49,19.69,18.56,17.92,19.6,18.57,18.08,17.26
天仁,s1233,14.83,14.73,16.26,16.01,15.21,14.89,16.48,15.86,15.21,14.72,16.73,16.13,15.52,14.75,16.72,17.35,17.39,16.81
黑松,s1234,44.22,43.66,43.53,43.34,43.4,42.75,43.58,43.22,43,42.52,44.38,44.23,43.26,34.5,37.96,37.86,24.02,23.66
興泰,s1235,49.86,37.93,30.11,24.42,24.08,21.9,23.74,23.33,29.51,22.08,18.74,16.01,17.54,17.02,17.4,17.88,18.1,15.86
宏亞,s1236,17.23,17.33,17.79,17.89,15.27,14.89,17.44,17.06,17.42,17.96,17.64,14.36,13.68,13.29,14.12,13.57,12.81,13.6
鮮活果汁-KY,s1256,33.68,31.25,33.42,32.15,33.04,32.1,34.78,33.18,30.86,37.69,39.17,36.15,33.34,29.63,27.68,24.3,23.06,18.71
