company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,18.42,16.34,8.95,15.51,14.59,14.6,13.34,21.02,21.06,20.49,18.21,19.66,19.06,16.57,12.95,14.82,13.29,13.25,12.56
亞泥,1102,12.84,12.35,7.66,10.65,10.04,10.63,10.63,14.33,13.8,14.74,13.77,12.89,10.78,10.64,6.45,8.87,7.67,7.87,8.36
嘉泥,1103,2.9,1.76,-0.62,-3.81,-6.7,-5.92,-11.27,5.57,5.44,6.89,5.73,5.5,-1.43,-1.57,-6.49,3.99,0.24,4.9,4.88
環泥,1104,13.51,12.63,10.44,10.41,9.52,8.43,8.3,9.35,9.13,8.85,9.83,8.91,8.7,8.11,9.04,7.45,8.14,7.96,8.44
幸福,1108,17.32,18.27,19.16,18.05,20.02,21.96,20.98,14.55,14.48,14.64,13.65,11.14,12.71,12.55,12.61,8.71,7.88,7.96,6.22
信大,1109,13.59,13.71,7.86,10.1,8.96,10,12.11,18.88,20.27,22.42,21.81,17.69,14.08,15.9,13.78,11,7.81,9.01,10.64
東泥,1110,0.94,7.1,9.52,7.49,8.2,8.92,9.84,10.22,10.36,12.52,14.53,12.73,13.72,14.17,14.47,9.48,8.65,9.21,9.45
味全,1201,29.23,27.4,23.97,27.43,27.52,26.45,26.86,28.94,29.8,30.58,31.15,31.59,32.31,32.11,32.45,36.45,37.24,37.31,37.97
味王,1203,26.31,25.26,23.04,24.59,23.87,23.79,24.22,22.67,23.82,24.55,25.31,21.81,21.53,20.77,20.57,19.79,18.73,18.2,17.69
大成,1210,13.17,13.34,13.62,10.74,10.55,9.86,9.3,8.72,9.18,9.57,9.95,8.46,8.58,8.33,9.08,7.94,8.52,8.45,8.81
大飲,1213,13.37,14.15,13.98,14.59,15.84,16.38,18.65,14.05,15.01,14.18,14.65,14.67,16.12,15.81,17.03,12.3,13.43,12.7,12.67
卜蜂,1215,14.71,14.71,14.32,12.25,11.8,11.26,12.55,11.91,11.55,11.92,11.97,9.3,8.58,7.64,8.68,7.65,8.07,6.78,6.3
統一,1216,33.95,34.43,34.24,33.14,33.62,33.56,32.91,30.6,31.08,31.19,30.82,30.93,31.22,31.42,31.35,29.82,30.21,30.05,29.69
愛之味,1217,32.61,33.13,30.52,31.77,32.2,32.46,30.36,30.19,31.14,28.19,25.74,30.77,31.74,31.41,31.5,36.06,36.57,35.86,32.62
泰山,1218,18.09,17.21,16.1,16.31,16.71,15.01,14.47,15.14,15.22,14.17,15.43,12.56,13.67,11.72,11.95,13.41,12.8,14.52,9.65
福壽,1219,9.07,9.31,8.85,8.41,8.08,7.55,8,6.97,6.36,6.83,7.72,5.08,4.64,4.27,4.24,4.21,5.68,4.94,3.7
台榮,1220,14.59,15.1,14.49,10.6,10.25,8.23,5.99,6.92,9.17,9.22,10.07,6.85,8.06,7.05,9.76,9.23,9.78,8.65,9.14
福懋油,1225,10.92,11.16,10.43,7.39,6.79,6.05,6.14,5.22,4.43,5.6,6.51,4.8,4.29,4.31,4.65,3.87,4.69,3.72,3.12
