company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,12.75,10.46,2.73,10.33,9.56,9.93,7.9,16.78,17.1,16.42,13.79,15.31,15.11,12.53,8.4,10.94,9.59,9.37,8.23
亞泥,1102,9.16,8.8,3.12,6.09,5.81,6.2,6.75,10.62,10.29,11.09,10.07,9.51,7.38,7.01,2.49,5.69,4.52,4.53,4.68
嘉泥,1103,-9.27,-11.17,-16.86,14.47,-20.47,-18.04,-27.67,-6.57,-7.35,-6.07,-4.18,9.75,-12.75,-12.79,-20.21,-7.04,-10.65,-4.74,-2.93
環泥,1104,5.3,4.74,2.86,3.36,2.56,1.9,1.85,3.07,3.09,3.13,3.43,2.34,1.76,1.76,2.42,-0.46,-0.03,-0.43,0.91
幸福,1108,11.53,12.65,13.36,12.43,14.85,16.93,16.21,9.35,9.21,9.44,8.44,5.57,7.2,7.29,8.16,1.25,0.05,0.02,-1.74
信大,1109,4.72,4.53,-3.02,1.33,-0.19,0.7,2.12,8.68,9.9,12.79,11.85,7.09,3.68,4.81,3.92,2.54,0.17,1.85,2.59
東泥,1110,-4.1,2.6,4.11,3.84,5.04,5.94,6.89,6.35,6.42,9.31,11.08,9.6,10.84,11.21,11.25,5.96,5,4.74,6.06
味全,1201,-6.82,-9.77,-15.1,-6.96,-5.23,-6.87,-6.01,2.3,4.54,5.4,5.98,4.44,4.99,5.07,5.62,4.08,4.56,4.55,4.67
味王,1203,10.81,9.38,9.42,10.84,10.49,10.68,11.16,8.02,8.86,10.53,11.82,7.43,7.82,7.01,8.07,6.31,5.34,5.18,4.67
大成,1210,3.49,3.52,3.99,1.97,1.76,1.19,1.06,1.25,1.6,1.95,1.96,0.93,0.81,0.35,1.17,1.29,1.57,1.58,1.91
大飲,1213,3.41,3.36,2.51,2.66,5.15,3.7,6.83,1.76,3.39,1.67,3.45,2.42,4.66,0.94,6.68,1.97,3.93,1.49,5.06
卜蜂,1215,7.59,7.72,7.46,5.34,4.97,4.45,5.4,5.55,5.2,5.49,5.77,2.98,2.12,1.11,2.24,1.28,1.66,0.41,0.15
統一,1216,5.52,6.31,6.15,5.2,5.83,5.97,5.98,4.06,4.4,4.72,4.83,4.28,4.63,4.82,5.5,4.48,4.63,4.62,4.68
愛之味,1217,0.95,-0.69,-0.78,-4.74,-3.62,-5.66,-8.41,-9.48,-9.34,-13.45,-17.38,-0.81,1.59,-0.45,-1.38,1.03,3.27,1.03,-0.49
泰山,1218,1.81,0.28,-0.79,-1.28,-0.77,-2.39,-1.28,-1.11,-0.91,-2.29,-0.9,-3.83,-1.79,-1.59,-0.33,-3.69,-0.31,-2.02,-3.65
福壽,1219,1,1.38,1.23,0.64,0.45,0.17,0.94,0.89,0.4,0.78,1.56,-0.17,-0.93,-1.34,-1.69,-0.85,0.58,-0.24,-1.8
台榮,1220,6.62,7.33,6.41,3.42,2.8,0.71,-1.52,0.78,1.85,2.57,3.57,1.03,2.45,1.09,3.16,3.99,4.24,3.39,3.51
福懋油,1225,5.7,6.08,5.55,8.24,2.05,1.51,1.83,0.94,0.23,1.25,2.06,1.06,0.76,0.87,1.12,0.54,1.29,0.34,-0.28
佳格,1227,11.32,12.06,14.48,12.88,13.3,12.69,16.66,11.27,11.63,10.51,12.26,9.8,10.71,11.9,14.76,11.96,11.73,11.68,15.1
聯華,1229,11.79,11.21,11.22,5.7,4.59,3.77,4.18,4.8,3.66,3.94,4.16,4.5,3.41,3.02,3.03,4.74,3.69,3.19,2.58
聯華食,1231,6.57,6.97,7.42,5.47,4.71,4.36,6.8,3.85,2.06,1.29,0.82,6.04,4.7,5.21,7.91,7.81,8.66,8.17,6.56
大統益,1232,6.44,6.79,5.92,5.83,5.89,5.84,6.17,4.97,4.03,4.65,5.63,3.79,3.65,4.04,4.31,3.24,3.78,3.96,4.03
天仁,1233,8.78,9.71,10.47,8.7,8.89,9.66,12.56,11.18,12.25,13.13,15.91,11.51,12.72,12.68,14.82,12.54,14.17,14,15.31
黑松,1234,2.16,-0.24,-4.36,1.25,4.18,0,-2.95,-0.22,0.71,-4.03,-4.33,1.61,2.37,-0.99,0.3,1.05,3.58,0.46,-0.96
興泰,1235,-32.38,-6.24,14.85,-12.85,-2.92,-19.36,-18.93,-24.08,-11.59,-5.99,-10.32,-5.06,-5.14,-8.39,-12.4,-3.01,-3.06,-6.01,-6.65
宏亞,1236,-0.6,-1.47,5.3,4.62,3.57,4.58,12.33,2.29,0.79,0.13,4.02,7.24,5.36,4.61,10.19,5.29,1.48,-3.82,-1.01
鮮活果汁-KY,1256,15.54,14.6,10.86,13.74,15.29,16.03,14.13,18.5,19.97,20.5,20.03,17.61,18.3,17.69,16.97,10.53,10.13,7.99,6.67
其祥-KY,1258,9.17,6.75,5.6,8.18,11.11,10.7,10.06,8.25,7.76,8.8,8.17,5.59,4.81,4.67,4.5,6.14,6.25,7.29,8.8
安心,1259,4.61,4.24,2.74,3.07,3.61,2.87,1.75,1.18,2.24,1.81,0.65,0.6,0.88,0.73,0.45,1.31,1.69,1.78,2.39
綠悅-KY,1262,31.15,31.06,30.6,29.65,29.62,29.76,29.73,29.34,29.22,29.04,28.64,27.35,26.59,26.15,25.93,22.75,,,
德麥,1264,16.79,16.47,16.91,14.14,13.9,14.52,15.31,13.33,12.15,11.87,10.98,17.98,18.12,18.47,,17.1,,,
台塑,1301,5.82,6.67,6.73,5.48,6.25,6.42,6.16,2.55,2.36,2.29,2.1,2.13,1.68,1.71,1.08,2.7,3.06,3.96,4.18
南亞,1303,4.61,5.16,5.27,6.2,7.31,8.89,8.2,3.36,3.87,3.86,3.32,4.76,4.93,4.56,5.56,4.06,4.39,4.84,6.42
台聚,1304,5.91,6.38,5.28,3.53,3.25,4.72,3.22,0.58,1.39,2.02,2.1,2.32,2.38,2.41,3.19,4.14,5.11,5.68,8.3
華夏,1305,10.94,10.77,7.57,6.62,5.96,7.6,5.91,0.66,2,2.52,5,6.42,6.73,7.32,10.82,6.78,7.53,7.62,10.4
三芳,1307,14.67,14.41,15.31,11.91,12.13,12.43,12.8,10.13,10.22,10.99,9.86,9.13,8.77,8.62,9.75,9.56,9.55,9.83,10.36
亞聚,1308,8.85,10.03,8.46,8.02,7.81,8.38,6.49,7.33,7.32,7.89,8.24,4.81,3.78,3.22,4.03,6.35,9.39,12.65,13.7
台達化,1309,0.78,1.58,2.45,0.85,1.07,3.42,2.08,-3.1,-2.3,-2.27,-3.97,-0.8,-0.38,-0.49,-0.41,-0.59,-1.04,-2.48,1.6
