company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,-8.83,-12.42,-17.33,-20.83,-22.06,-20.75,-19.75,1.92,6.99,11,10.79,2.11,-1.29,-3.14,-4.65,0.81,0.58,0.01,4.56
亞泥,1102,-10.2,-9.88,-15.12,-14.67,-14.19,-13.88,-5.5,10.7,15.11,16.62,16.69,10,7.25,7.51,5.61,-6.75,-5.35,-4.68,-6.22
嘉泥,1103,7.51,-3.36,-19.38,-28.22,-30.53,-26.22,-34.14,-7.75,2.92,6.54,37.54,-10.57,-11.14,-23.36,-26.03,-10.17,-13.23,-14.09,-26.09
環泥,1104,-10.82,-9.1,-16.7,-11.27,-11.12,-9.78,-3.75,10.31,12.81,15.02,10.5,9.32,8.1,7.81,8.3,2.76,-0.75,-1.86,0.06
幸福,1108,-16.07,-20.04,-22.63,-1.07,0.9,5.49,5.54,4.23,5.99,7.32,1.3,16.22,17.19,16.21,26.91,1.03,-4.61,-1.83,-4.74
信大,1109,-5.59,-2.23,-7.96,-12.99,-11.69,-23.57,-20.15,9.86,24.63,39.39,30.1,24.28,11.16,10.27,15.29,39.28,68.09,80.33,89.86
東泥,1110,-20.71,-17.86,-19.3,-10.63,-7.67,-4.53,-4.09,2.65,2.55,5.95,7.71,23.83,28.94,30.77,20.33,13.4,9.73,0.44,8.4
味全,1201,-15.51,-16.27,-20,-19.81,-29.24,-31.77,-33.49,-14.37,-3.44,-1.97,-1.33,9.65,11.1,10.88,11.54,11.44,13.54,12.8,10.85
味王,1203,-6.95,-5.88,-6.44,5.34,13.13,7.42,10.37,5.01,-3.18,0.24,-8.79,-1.89,0.18,-1.75,7.99,3.95,2.59,-0.44,-2.57
大成,1210,-5.62,-6.76,-11.63,-14.7,-12.98,-12.65,-7.65,1.4,2.87,4.22,1.81,4.56,2.01,2.31,2.45,4.12,7.71,10.74,14.23
大飲,1213,-11.05,-9.7,-16.55,4.89,6.05,6.87,10.04,-2.5,-4.03,-2.93,-4.95,-0.79,-0.24,-0.76,2.12,2,4.94,5.03,9.54
卜蜂,1215,7.7,8.26,6.16,-5.56,-4.88,-6.26,-3.6,-3.28,-2.95,-1.36,-5.07,1.98,2.19,3,4.12,0.53,0.94,3.44,7.68
統一,1216,-0.53,0.74,1.65,-0.52,-0.57,-0.67,-2.03,-1.12,-0.94,0.1,2.37,4.19,5.43,6.46,6.91,10.18,15.22,11.84,11.53
愛之味,1217,0.65,6.32,5.59,12.22,11.32,-7.59,0.65,-20.05,-17.05,-2.99,-3.75,1.41,1.77,6.24,-0.99,3,10.88,-3.65,-9.02
