company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,25.39,22.82,17.81,15.43,12.62,14.74,15.46,15.22,16.14,16.11,19.17,18.86,23.33,20.12,17.58,18.24,15.45,15.04,13.65
亞泥,1102,63.65,64.81,29.11,27.13,15.33,17.37,18.48,18.31,19.13,19.74,20.53,20.86,27.84,26.93,17.33,17.75,14.49,14.22,11.73
嘉泥,1103,7.96,7.38,47.82,48.23,85.12,102.06,12.58,12.9,16.52,17.74,,,,,114.08,120.15,46.64,41.74,23.45
環泥,1104,10.57,9.33,11.1,11.17,9.17,11.76,13.06,11.42,14.14,14.77,19.26,17.81,18.71,12.51,14.35,12.86,20.5,18,15.43
幸福,1108,8.89,9.72,7.99,7.87,9.94,10.28,16.37,15.33,21.55,19.46,26,23.48,146.73,134.41,165.34,152.34,,,
信大,1109,,,106.06,107.34,19.41,23.33,16.24,15.59,19.98,22.49,30.15,28.04,45.86,46.07,50.53,51.5,35.44,35.1,
東泥,1110,,,61.79,64.44,43.59,43.59,45.09,45.9,32.35,30.32,37.85,38.97,56.78,55.69,37.05,38.27,42.38,37.32,66.91
味全,1201,,,,,,,19.9,19.86,18.25,22.83,24.03,27.43,31.4,27.7,28.93,23.34,25.15,21.45,23.38
味王,1203,22,21.75,16.25,17.27,20.45,23.64,26.63,26.63,20.13,18.94,19.51,20.42,28.18,26.87,302.99,298.53,"1,307.60","1,140.48",33.59
大成,1210,15.22,16.54,66.85,66.53,25.84,31.05,9.15,9.6,11.38,10.73,26.93,23.62,20.56,20.6,14.16,14.37,16.02,15.56,14.33
大飲,1213,50.27,58.04,35.93,29.66,34.13,48.77,95.15,92.32,71.8,88.8,62.25,58.78,49.91,57.31,54.03,45.36,75.27,91.77,162.67
卜蜂,1215,13.19,12.98,9.5,8.81,7.62,8.42,9.37,8.17,10.65,11.56,14.02,10.81,8.96,9.63,14.36,14.03,31.7,28.66,21.45
統一,1216,23.05,24.9,23.18,22.52,30.41,28.06,28.79,27.59,28.15,26.96,23.78,24.09,21.67,21.66,23.48,22.11,25.23,21.58,21.91
愛之味,1217,,,,,,,,,,,,,,,121.68,121.68,,,59.16
泰山,1218,50.1,41.21,93.05,90.06,94.43,112.2,,,,,,,,,65.45,68.24,,,
福壽,1219,39.89,39.5,41.41,39.65,44.06,43.87,44.94,43.94,51.73,48.81,,,,,,,9.44,8.93,6.58
台榮,1220,12.28,13.35,24.37,24.83,56.85,59.26,39.25,37.98,32.08,33.2,20.9,20.35,12.81,14.16,12.98,13.22,15.28,13.9,12.57
福懋油,1225,18.33,14.07,41.59,34.36,121.08,112.09,"1,741.52","1,711.23",75.57,47.8,,,33.87,34.51,34.26,33.86,,,17.53
佳格,1227,26.43,23.39,24.04,24.73,23.14,27.32,29.39,25.53,29.06,32.31,28.62,32.07,27.23,25.33,24.18,21.36,21.09,17.89,18.8
聯華,1229,12.94,12.65,12.08,11.33,12.65,13.86,9.61,9.16,9.86,10.2,13.44,13.36,11.33,11.68,11.82,11.48,11.12,10.26,8.48
聯華食,1231,14.39,14.92,14.88,14,13.16,16.16,26.76,24.84,29.79,31.94,23.67,22.76,13.76,13.6,13.34,12.42,13.69,12.64,11.91
大統益,1232,16.78,15.98,13.07,12.43,13.34,13.98,17.9,15.68,16.18,18.59,21.17,19.35,17.32,17.14,14.88,14.51,15.99,15.72,13.18
天仁,1233,20.31,20.61,18.66,17.67,16.32,19.23,19.39,18.92,18.76,19.57,20.14,19.54,17.38,18.25,21.17,18.98,18.88,19.29,19.17
黑松,1234,22.29,22.57,23.19,20.6,29.56,34.32,33.68,33.59,,,,,40.82,50.92,53.56,52.67,66.5,52.1,55.06
興泰,1235,20.71,17.44,,,92.63,94.43,14.31,14.47,116.11,163.04,,,,,71.08,70.8,,,
宏亞,1236,39.7,41.04,24.61,25.38,22.85,26.99,20.64,19.56,20.66,21.22,18.79,18.82,15.94,15.51,22.5,21.31,17.33,17.12,19.54
鮮活果汁-KY,1256,19.97,14.74,14.92,16.13,17.23,22.02,21.64,20.52,23.47,31.33,29.28,19.14,21.38,20.69,15.19,13.63,17.69,,
其祥-KY,1258,9.96,9.9,10.31,10.61,16.56,16.58,10.42,9.66,12.9,12.78,19.07,19.98,10.12,9.4,11.39,12.36,11.07,13.03,12.63
安心,1259,17.32,14.04,17.07,17.51,18.89,20.56,21.74,23.66,29.17,30,25.93,26.15,26.86,24.93,24.82,25.4,21.92,23.89,27.23
綠悅-KY,1262,14.23,13.81,11.18,10.55,11.02,13.58,15.57,16.17,18.95,22.95,32.55,,,,,,,,
德麥,1264,14.48,14.07,14.74,13.86,16.05,18.47,,,,,,,,,,,,,
台塑,1301,15.55,15.55,20.89,20.05,30.96,32.39,22.5,21.43,23.35,25.85,27.13,28.66,31.56,28.83,38.34,41.92,19.33,18.41,10.75
