company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,2.19,1.8,0.06,1.42,0.57,1.77,0.6,2.33,3.12,3.27,1.79,2.47,3.64,2.74,1.39,1.73,2.02,2.32,1.56
亞泥,1102,0.8,0.91,0.13,0.38,-0.11,1.91,0.94,1.53,1.5,2.8,1.1,3.23,1.36,2.64,0.95,1.6,0.92,2.63,1.7
嘉泥,1103,1.15,-0.49,-1.35,3.58,-1.93,0.6,-0.97,-0.68,0.88,0.22,-0.16,5.66,1.05,-0.27,0.36,0.13,-4.2,-1.02,1.13
環泥,1104,2.16,3.18,2.12,2.97,1.85,2.24,1.64,2.1,2.35,3.04,1.64,2.44,1.74,2.52,1.36,0.9,1.35,2.05,1.11
幸福,1108,1.6,2.12,2.15,1.29,1.92,3.89,3.54,2.27,1.7,3.41,1.54,0.08,1.22,0.98,1.5,0.37,0.47,0.47,2.88
信大,1109,0.52,1.21,-0.52,0.65,-1.09,-0.44,0.02,0.84,0.3,2.13,1.49,2.85,0.21,1.04,0.51,1.21,-0.48,-0.05,0.18
東泥,1110,-0.1,0.24,2.47,0.25,0.71,0.29,0.4,-0.29,0.72,0.41,0.78,-0.47,1.26,0.21,0.72,-1.12,0.78,0.1,1.08
味全,1201,-0.86,-3.51,-1.58,-7.78,-3.77,-3.33,-2.39,-3.74,-0.74,1.18,2.03,-0.04,2.2,1.93,2.28,0.24,1.77,1.34,2.18
味王,1203,3.29,2.62,2.36,-0.2,2.9,2.34,3.87,1.82,0.91,1.91,2.55,0.52,2.57,2.01,2.55,1.31,0.67,1.48,-0.33
大成,1210,3.77,3.34,3.06,-0.66,1.95,0.74,0.45,-1.55,2.77,2.02,1.92,8.84,2.46,-0.35,1.69,0.54,2.19,1.37,2.51
大飲,1213,1.01,1.04,0.73,-1.91,2.68,0.03,1.66,-1.02,2.23,-0.04,0.58,-1.26,3.24,-0.81,1.39,-1.36,2.77,-0.8,1.21
卜蜂,1215,4.97,5.42,4.76,4.32,3.87,2.11,3.38,4.5,3.2,3.87,4.23,4.01,3.66,0.29,1.43,1.74,3.74,0.78,0.21
統一,1216,3.98,4.9,4.03,1.51,3.51,4.77,4.31,2.04,2.34,3.62,4.62,2.27,4.91,4.12,4.45,2.62,4.55,3.92,3.7
愛之味,1217,0.53,-0.86,-0.54,-0.27,3.05,-1.01,-1.16,-0.58,-0.72,-2.43,-2.47,0.25,-1.31,-0.09,0.21,-0.36,1.07,0.25,0.02
