,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
1101 台泥,1.23,0.6,0.06,1.56,1.08,0.83,0.22,2.93,2.23,1.36,0.5,2.72,2.06,1.08,0.38,2.09,1.63,1.07,0.4
1102 亞泥,0.75,0.45,0.06,1.55,1.41,1.39,0.47,2.98,2.29,1.68,0.47,3.42,2,1.49,0.4,1.93,1.53,1.27,0.53
1103 嘉泥,-0.19,-0.4,-0.29,0.34,-0.62,-0.12,-0.29,0.03,0.23,-0.01,-0.06,1.97,0.37,0.08,0.13,-1.13,-1.06,0.02,0.32
1104 環泥,1.91,1.35,0.55,2.22,1.46,0.98,0.43,2.26,1.7,1.12,0.4,1.84,1.25,0.86,0.3,1.18,0.98,0.68,0.24
1108 幸福,0.67,0.48,0.26,1.16,1.01,0.78,0.39,0.94,0.76,0.55,0.18,0.44,0.42,0.29,0.17,0.43,0.4,0.35,0.3
1109 信大,0.22,0.14,-0.03,0.04,-0.09,-0.01,0.02,0.67,0.55,0.47,0.2,0.65,0.3,0.25,0.09,0.21,0.04,0.06,0.04
1110 東泥,0.22,0.24,0.21,0.25,0.21,0.11,0.06,0.25,0.29,0.18,0.12,0.26,0.33,0.14,0.11,0.12,0.28,0.17,0.16
1201 味全,-0.89,-0.86,-0.21,-3.78,-2.34,-1.19,-0.58,-0.5,0.74,0.85,0.5,1.72,1.64,1.09,0.58,1.49,1.31,0.84,0.49
1203 味王,1.26,0.79,0.37,1.12,1.32,0.85,0.5,1.12,0.82,0.64,0.36,1.11,1.09,0.68,0.35,0.42,0.29,0.16,-0.07
1210 大成,2.33,1.5,0.73,0.87,0.88,0.37,0.23,1.7,1.71,1.28,0.68,3.42,1.16,0.53,0.45,1.43,1.4,0.71,0.49
1213 大飲,0.34,0.21,0.1,0.32,0.57,0.22,0.22,0.22,0.36,0.07,0.07,0.32,0.48,0.07,0.17,0.22,0.39,0.05,0.15
1215 卜蜂,3.16,2.03,0.95,2.57,1.75,1.14,0.72,3.21,2.26,1.65,0.87,1.95,1.07,0.37,0.31,1.33,0.94,0.21,0.04
1216 統一,2.33,1.6,0.76,2.48,2.21,1.6,0.79,2.04,1.68,1.41,0.81,2.48,2.13,1.34,0.71,2.55,2.03,1.28,0.67
1217 愛之味,-0.13,-0.19,-0.07,0.1,0.18,-0.26,-0.13,-0.73,-0.65,-0.57,-0.28,-0.11,-0.17,0.01,0.04,0.1,0.13,0.02,0
1218 泰山,0.81,0.38,0.16,0.36,0.23,-0.07,-0.03,0.21,0.22,0.01,0.07,-0.35,0.22,0.05,-0.01,-0.62,0.37,-0.07,-0.22
1219 福壽,0.38,0.26,0.13,0.31,0.14,0.06,0.07,0.43,0.18,0.17,0.14,0.09,-0.12,-0.14,-0.11,-0.19,0.12,-0.05,-0.11
1220 台榮,0.72,0.49,0.19,0.67,0.49,0.17,-0.01,0.3,0.32,0.23,0.12,0.32,0.35,0.16,0.12,0.81,0.67,0.34,0.16
1225 福懋油,1.25,0.86,0.43,2.55,0.43,0.19,0.14,0.22,-0.12,0.18,0.18,0.32,0.19,0.24,0.13,0.21,0.51,0.04,-0.05
1227 佳格,2.18,1.64,1.11,3.47,2.71,1.8,1.27,2.9,2.19,1.21,0.82,2.83,2.19,1.58,1.23,3.92,2.79,1.76,1.35
1229 聯華,1.81,1.05,0.38,1.59,1.49,1.17,0.33,2.01,1.83,1.32,0.78,1.57,1.15,0.66,0.27,1.86,1.34,1,0.26
1231 聯華食,2.06,1.35,0.84,2.41,1.67,0.87,0.66,1.51,0.66,0.33,0.2,2.59,1.67,1.32,0.91,3,2.37,1.43,0.66
1232 大統益,3.96,2.78,1.09,5.7,4.33,2.62,1.51,6.17,3.66,2.73,1.81,4.42,3.11,2.46,1.32,2.77,2.65,1.81,0.75
1233 天仁,1.36,1.02,0.55,2.31,1.51,1.03,0.66,2.54,2.01,1.46,0.92,2.55,2.02,1.32,0.76,2.56,2.23,1.46,0.73
1234 黑松,2.49,1.9,0.22,1.54,1.41,0.69,0.31,0.98,0.78,0.29,0.16,0.64,-0.34,-0.78,0.19,15.14,0.67,0.3,0.11
1235 興泰,4.54,2.37,1.42,0.8,0.4,-0.55,0,0.97,2.53,1.18,0.51,-0.84,-0.72,-0.91,-0.64,0.27,0.38,-0.68,-0.18
1236 宏亞,0.08,-0.07,0.3,0.94,0.54,0.44,0.67,1.55,1.19,1.08,0.21,1.26,0.49,0.46,0.58,1.28,0.06,-0.41,-0.04
1256 鮮活果汁-KY,7.58,4.13,1.44,7.76,7.34,4.76,1.91,9.85,8.54,5.33,3.21,12.27,10.1,6.03,2.59,5.66,4.43,2.21,0.83
1258 其祥-KY,3.43,2.13,1.18,3.79,3.17,1.85,0.9,2.73,1.96,1.48,0.73,1.7,1.08,0.7,0.35,2.36,1.62,1.3,0.76
1259 安心,4.75,3.04,1.02,4.05,3.52,1.86,0.79,2.86,2.75,1.48,0.47,2.45,2.03,1.24,0.45,3.16,2.47,1.79,1.12
1262 綠悅-KY,8.69,5.71,2.65,10.51,7.76,5.03,2.35,10.4,6.91,4.65,2.65,10.22,7.37,4.9,2.32,953.59,,,
1264 德麥,10.38,6.84,3.39,13.33,9.73,6.6,3.53,11.42,7.42,5.03,2.92,12.02,8.26,6.4,,11.26,,,
1301 台塑,4.29,2.5,0.9,4.85,3.93,2.28,0.57,2.81,2.89,1.72,1.13,3.25,2.37,1.35,0.9,2.4,1.92,0.6,0.79
1303 南亞,2.79,1.73,0.68,4.5,3.85,2.59,1,4,3.62,2.44,1.18,3.19,2.38,1.36,0.9,0.54,0.37,-0.24,0.13
1304 台聚,0.96,0.7,0.27,0.85,0.62,0.49,0.18,0.62,0.55,0.31,0.14,0.79,0.63,0.44,0.27,1.6,1.67,1.29,0.67
1305 華夏,1.81,1.23,0.38,1.64,1.06,0.88,0.35,0.25,0.38,0.28,0.34,1.67,1.36,1.07,0.76,1.88,1.57,1.06,0.73
1307 三芳,2.36,1.6,0.99,2.85,2.17,1.31,0.76,2.59,1.93,1.33,0.73,2.19,1.52,1.03,0.62,2,1.45,0.94,0.51
1308 亞聚,0.88,0.6,0.19,1.08,0.82,0.61,0.26,1.06,0.89,0.57,0.22,1.14,0.88,0.61,0.28,1.32,1.36,0.91,0.63
1309 台達化,0.05,0.19,0.15,0.21,0.28,0.83,0.25,-1.93,-1.23,-0.89,-0.65,0.05,0.3,0.32,0.16,-0.19,-0.22,-0.46,0.23
1310 台苯,1.96,1.2,0.78,1.31,1.16,1.01,0.05,-0.07,0.44,0.65,0.02,2.16,1.57,0.5,0.04,-0.88,-0.61,-0.67,-0.2
1312 國喬,1.63,1,0.64,1.62,1.44,1.28,0.32,0.31,0.4,0.19,0.14,2.15,1.52,0.79,0.18,1.92,1.78,1.47,0.17
1313 聯成,0.52,0.29,0.03,-0.15,0.27,0.48,0.08,-0.21,0.05,-0.1,-0.14,0.52,0.4,0.14,0.15,1.08,1,0.41,0.41
1314 中石化,-0.62,-0.61,-0.31,0.04,0.07,0.23,0.08,0.13,0.58,0.7,-0.09,2.27,-0.5,-0.37,-0.11,0.61,1.03,1.23,0.98
1315 達新,1.12,0.22,0.16,1.34,1.13,0.17,0.03,1.16,0.79,0.09,0,0.82,0.74,0.28,0.04,0.76,0.87,0.08,0.06
1316 上曜,-0.62,-0.42,-0.22,-0.88,-0.68,-0.5,-0.43,-0.33,-1.07,-0.72,-0.36,-2.4,-1.67,-1.06,-0.43,-2.02,-1.34,-0.86,-0.43
1319 東陽,2.85,1.91,1.04,2.87,1.74,0.92,0.7,1.54,1.5,1.11,0.67,2.28,1.78,1.25,0.57,1.41,1.13,0.73,0.52
1321 大洋,0.24,0.08,0.02,0.17,0.32,0.13,0.02,-0.66,-0.41,-0.12,0.01,0.06,0.18,0.04,0.01,-0.58,-0.38,-0.31,0
1323 永裕,2.4,1.45,0.68,2.55,1.66,0.97,0.52,3.03,2.13,1.33,0.68,2.77,2.07,1.45,0.66,2.26,1.64,1.12,0.58
1324 地球,0.66,0.52,0.23,0.77,0.57,0.29,0.09,0.57,0.48,0.33,0.2,0.58,0.46,0.36,0.19,0.5,0.28,0.08,0.05
1325 恒大,0.76,0.66,0.35,1,0.71,0.35,0.18,0.58,0.29,0.17,0.21,0.72,0.51,0.4,0.25,0.74,0.53,0.32,0.22
1326 台化,5.99,3.43,1.16,4.72,3.67,2.34,0.25,1.8,2.84,1.56,0.97,4.25,3.7,2.09,1.43,1.25,0.6,-0.49,0.59
1333 恩得利,-0.51,-0.28,-0.21,-0.33,-0.01,-0.03,0.04,-0.96,-0.72,-0.78,-0.67,-0.24,0.1,0.23,0.08,-0.6,-0.56,-0.6,-0.38
1336 台翰,-2.03,-1.37,-0.44,-2.38,-2.05,-1.51,-0.55,-0.64,0.5,0.47,0.35,0.1,-0.31,-0.1,0.09,-0.83,-0.84,-0.68,-0.07
1337 再生-KY,1.5,0.98,0.44,1.5,0.82,0.39,0.27,4.54,3.67,2.54,1.53,6.44,5.29,3.04,1.31,9.25,7.31,4.7,2.29
1338 廣華-KY,5.71,3.96,2.25,9.04,6.59,4.45,2.18,7.78,5.5,3.76,1.62,5.87,3.39,1.79,0.72,4.96,4.84,3.38,1.44
1339 昭輝,1.68,1.43,0.71,4.6,3.2,1.67,1.02,4.57,3.25,2.3,1.25,3.33,2.28,1.8,1.06,2.63,1.79,1.16,0.63
1340 勝悅-KY,6.06,3.88,1.51,7.51,5.57,4.25,1.74,10.6,7.51,5.22,2.39,10.08,7.21,4.36,2.19,8.82,,,
1402 遠東新,0.78,0.51,0.17,1.61,1.42,1.26,0.54,2.21,1.85,1.29,0.38,2.75,1.85,1.28,0.4,1.73,1.46,1.29,0.6
1409 新纖,0.35,0.21,0.09,0.46,0.48,0.17,0.11,0.81,0.74,0.54,0.35,0.65,0.58,0.36,0.11,0.55,0.46,0.29,0.17
1410 南染,1.19,0.86,0.4,1.64,1.29,0.82,0.3,1.21,0.86,0.45,0.17,1.08,0.85,0.52,0.21,1.28,1.03,0.64,0.16
1413 宏洲,-0.32,-0.14,-0.03,0.03,-0.25,0.08,-0.32,-2.44,-1.71,-0.42,-0.29,-1.77,-1.25,-1.13,-0.42,-1.61,-0.7,-0.44,-0.42
1414 東和,-0.03,-0.03,-0.02,0.03,-0.04,-0.09,-0.07,0.21,0.08,0.13,0.1,0.62,0.52,0.4,0.15,0.42,0.31,0.18,0.12
1416 廣豐,5.03,4.31,1.46,-0.13,0.11,0.34,0.54,1.68,0.83,0.16,-0.14,0.19,-0.35,-0.22,-0.04,3.11,2.57,2.65,0.01
1417 嘉裕,-0.3,-0.07,-0.32,-1.01,-0.82,-0.48,-0.25,0.08,0.01,0.19,0.23,0.04,-0.25,-0.18,-0.03,0.45,0.41,0.41,0.29
1418 東華,-0.93,-0.46,-0.21,-1.46,-0.9,-0.72,-0.51,-1.32,-0.8,-0.43,-0.35,-1.01,-0.78,-0.54,-0.21,-1.61,-1.43,-0.64,0.29
1419 新紡,0.47,-0.08,-0.04,0.39,0.45,-0.14,-0.09,0.35,0.48,0.21,-0.04,0.55,0.58,0.38,-0.04,0.59,0.56,0.07,0.03
1423 利華,0.07,0.05,0.03,-0.21,-0.11,-0.01,-0.11,-0.43,-0.37,-0.26,-0.24,-0.02,-0.15,-0.09,0.12,-0.57,-0.52,-0.16,0.15
1432 大魯閣,-0.59,0.32,0.59,-0.74,-0.21,-0.19,-0.48,-0.87,-0.37,-0.66,-0.37,-0.87,-0.62,-0.71,-0.66,6.58,-0.73,-0.61,-0.48
