,TWII.Open,TWII.High,TWII.Low,TWII.Close,TWII.Volume,TWII.Adjusted,add/less
2012/1/2,7071.350098,7073.47998,6948.669922,6952.209961,1326600,6952.182612,
2012/1/3,7005.390137,7073.790039,7005.390137,7053.379883,1818200,7053.352135,101.169523
2012/1/4,7093.069824,7116.220215,7064.580078,7082.970215,2132200,7082.942351,29.590216
2012/1/5,7099.350098,7130.859863,7073.319824,7130.859863,2209000,7130.831811,47.88946
2012/1/6,7129.529785,7139.040039,7090.470215,7120.509766,2354400,7120.481754,-10.350057
2012/1/9,7103.089844,7103.089844,7050.25,7093.040039,1741000,7093.012136,-27.469618
2012/1/10,7128.859863,7181.740234,7128.859863,7178.870117,2546400,7178.841876,85.82974
2012/1/11,7203.100098,7212.359863,7184.379883,7188.209961,2389000,7188.181683,9.339807
2012/1/12,7202.379883,7209.740234,7173.870117,7186.580078,2178800,7186.551807,-1.629876
2012/1/13,7226.240234,7249.939941,7169.919922,7181.540039,2530000,7181.511788,-5.040019
2012/1/16,7241.919922,7258.839844,7091.350098,7103.620117,2092600,7103.592172,-77.919616
2012/1/17,7144.200195,7221.080078,7118.359863,7221.080078,2607400,7221.051671,117.459499
2012/1/18,7235.540039,7245.129883,7194.549805,7233.689941,3019600,7233.661485,12.609814
2012/1/30,7382.720215,7443.029785,7382.720215,7407.410156,3584800,7407.381016,173.719531
2012/1/31,7436.52002,7517.080078,7421.009766,7517.080078,4300400,7517.050507,109.669491
2012/2/1,7520.359863,7566.080078,7488.970215,7549.209961,4049800,7549.180263,32.129756
2012/2/2,7613.790039,7652.459961,7578.759766,7652.459961,4452800,7652.429857,103.249594
2012/2/3,7658.680176,7674.990234,7608.410156,7674.990234,4261800,7674.960042,22.530185
2012/2/6,7752.279785,7752.279785,7677.560059,7687.97998,3712400,7687.949737,12.989695
2012/2/7,7680.359863,7751.759766,7673.910156,7707.439941,2997600,7707.409621,19.459884
2012/2/8,7766.379883,7869.910156,7766.379883,7869.910156,3991000,7869.879197,162.469576
2012/2/9,7863.359863,7910.779785,7840.379883,7910.779785,4228800,7910.748665,40.869468
2012/2/10,7922.609863,7941.629883,7848.779785,7862.27002,3965600,7862.23909,-48.509575
2012/2/13,7849.209961,7917.959961,7837.580078,7912.910156,3467600,7912.879028,50.639938
2012/2/14,7937.279785,7937.279785,7829.759766,7884.080078,3394800,7884.049063,-28.829965
2012/2/15,7919.410156,8011.870117,7902.080078,8005.240234,3961800,8005.208743,121.15968
2012/2/16,7983.75,8010.5,7851.620117,7869.700195,4457800,7869.669237,-135.539506
2012/2/17,7956.910156,8013.459961,7862.109863,7894.359863,3787200,7894.328808,24.659571
2012/2/20,7959.990234,7985.5,7913.649902,7954.819824,2815200,7954.788531,60.459723
2012/2/21,7953.060059,7973.470215,7870.259766,7921.5,2942600,7921.468838,-33.319693
2012/2/22,7908.379883,8018.540039,7897.649902,8001.680176,3485200,8001.648698,80.17986
2012/2/23,7981.919922,7991.919922,7935.419922,7937.299805,2861400,7937.26858,-64.380118
2012/2/24,7971.620117,7974.580078,7899.620117,7959.339844,2811000,7959.308532,22.039952
2012/2/29,8046.140137,8121.439941,8046.140137,8121.439941,3454400,8121.407992,162.09946
2012/3/1,8127.569824,8151.700195,8103.75,8118.339844,2838000,8118.307907,-3.100085
2012/3/2,8161.870117,8170.720215,8114.140137,8144.040039,3160600,8144.008001,25.700094
2012/3/5,8105.27002,8115.490234,7998.959961,8004.740234,2834600,8004.708744,-139.299257
2012/3/6,8006.850098,8028.02002,7860.870117,7937.970215,3057000,7937.938988,-66.769756
2012/3/7,7846.490234,7937.109863,7824.450195,7903.080078,2595200,7903.048988,-34.89
2012/3/8,7952.939941,8000.930176,7905.5,7984.560059,2728800,7984.528648,81.47966
2012/3/9,8012.589844,8027.080078,7965.680176,8016.009766,2700200,8015.978231,31.449583
2012/3/12,8028.870117,8028.870117,7927.549805,7927.549805,2189200,7927.518618,-88.459613
2012/3/13,7990.600098,8045.609863,7974.379883,8031.509766,2546000,8031.47817,103.959552
